,data_products,data_prices
0,LIP COAT - BUTTER FUDGE,Rp 139.000
1,LIP COAT - BURNT CINNAMON,Rp 139.000
2,LIP COAT - MAPLE WAFFLE,Rp 139.000
3,LIP COAT - PERSIMMON PIE,Rp 139.000
4,FACE POWDER - MEDIUM BEIGE,Rp 151.050
5,LIP COAT - PUMPKIN SORBET,Rp 139.000
6,BROW DEFINER - DARK BROWN,Rp 122.550
7,LIP COAT - PEPPERMINT PINK,Rp 139.000
8,LIP COAT - BLOODY MARY,Rp 139.000
9,LIP COAT - PEACH SODA,Rp 139.000
10,LIP COAT - GINGER BREAD,Rp 139.000
11,MATTE LINER - PITCH BLACK,Rp 122.550
12,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
13,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
14,FACE POWDER - BEIGE,Rp 159.000
15,LIP COAT - CANDY APPLE,Rp 139.000
16,LIP COAT - BUTTER FUDGE,Rp 139.000
17,LIP COAT - BURNT CINNAMON,Rp 139.000
18,LIP COAT - MAPLE WAFFLE,Rp 139.000
19,LIP COAT - PERSIMMON PIE,Rp 139.000
20,FACE POWDER - MEDIUM BEIGE,Rp 151.050
21,LIP COAT - PUMPKIN SORBET,Rp 139.000
22,BROW DEFINER - DARK BROWN,Rp 122.550
23,LIP COAT - PEPPERMINT PINK,Rp 139.000
24,LIP COAT - BLOODY MARY,Rp 139.000
25,LIP COAT - PEACH SODA,Rp 139.000
26,LIP COAT - GINGER BREAD,Rp 139.000
27,MATTE LINER - PITCH BLACK,Rp 122.550
28,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
29,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
30,FACE POWDER - BEIGE,Rp 159.000
31,LIP COAT - CANDY APPLE,Rp 139.000
32,LIP COAT - BUTTER FUDGE,Rp 139.000
33,LIP COAT - BURNT CINNAMON,Rp 139.000
34,LIP COAT - MAPLE WAFFLE,Rp 139.000
35,LIP COAT - PERSIMMON PIE,Rp 139.000
36,FACE POWDER - MEDIUM BEIGE,Rp 151.050
37,LIP COAT - PUMPKIN SORBET,Rp 139.000
38,BROW DEFINER - DARK BROWN,Rp 122.550
39,LIP COAT - PEPPERMINT PINK,Rp 139.000
40,LIP COAT - BLOODY MARY,Rp 139.000
41,LIP COAT - PEACH SODA,Rp 139.000
42,LIP COAT - GINGER BREAD,Rp 139.000
43,MATTE LINER - PITCH BLACK,Rp 122.550
44,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
45,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
46,FACE POWDER - BEIGE,Rp 159.000
47,LIP COAT - CANDY APPLE,Rp 139.000
48,LIP COAT - BUTTER FUDGE,Rp 139.000
49,LIP COAT - BURNT CINNAMON,Rp 139.000
50,LIP COAT - MAPLE WAFFLE,Rp 139.000
51,LIP COAT - PERSIMMON PIE,Rp 139.000
52,FACE POWDER - MEDIUM BEIGE,Rp 151.050
53,LIP COAT - PUMPKIN SORBET,Rp 139.000
54,BROW DEFINER - DARK BROWN,Rp 122.550
55,LIP COAT - PEPPERMINT PINK,Rp 139.000
56,LIP COAT - BLOODY MARY,Rp 139.000
57,LIP COAT - PEACH SODA,Rp 139.000
58,LIP COAT - GINGER BREAD,Rp 139.000
59,MATTE LINER - PITCH BLACK,Rp 122.550
60,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
61,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
62,FACE POWDER - BEIGE,Rp 159.000
63,LIP COAT - CANDY APPLE,Rp 139.000
64,LIP COAT - BUTTER FUDGE,Rp 139.000
65,LIP COAT - BURNT CINNAMON,Rp 139.000
66,LIP COAT - MAPLE WAFFLE,Rp 139.000
67,LIP COAT - PERSIMMON PIE,Rp 139.000
68,FACE POWDER - MEDIUM BEIGE,Rp 151.050
69,LIP COAT - PUMPKIN SORBET,Rp 139.000
70,BROW DEFINER - DARK BROWN,Rp 122.550
71,LIP COAT - PEPPERMINT PINK,Rp 139.000
72,LIP COAT - BLOODY MARY,Rp 139.000
73,LIP COAT - PEACH SODA,Rp 139.000
74,LIP COAT - GINGER BREAD,Rp 139.000
75,MATTE LINER - PITCH BLACK,Rp 122.550
76,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
77,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
78,FACE POWDER - BEIGE,Rp 159.000
79,LIP COAT - CANDY APPLE,Rp 139.000
80,LIP COAT - BUTTER FUDGE,Rp 139.000
81,LIP COAT - BURNT CINNAMON,Rp 139.000
82,LIP COAT - MAPLE WAFFLE,Rp 139.000
83,LIP COAT - PERSIMMON PIE,Rp 139.000
84,FACE POWDER - MEDIUM BEIGE,Rp 151.050
85,LIP COAT - PUMPKIN SORBET,Rp 139.000
86,BROW DEFINER - DARK BROWN,Rp 122.550
87,LIP COAT - PEPPERMINT PINK,Rp 139.000
88,LIP COAT - BLOODY MARY,Rp 139.000
89,LIP COAT - PEACH SODA,Rp 139.000
90,LIP COAT - GINGER BREAD,Rp 139.000
91,MATTE LINER - PITCH BLACK,Rp 122.550
92,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
93,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
94,FACE POWDER - BEIGE,Rp 159.000
95,LIP COAT - CANDY APPLE,Rp 139.000
96,LIP COAT - BUTTER FUDGE,Rp 139.000
97,LIP COAT - BURNT CINNAMON,Rp 139.000
98,LIP COAT - MAPLE WAFFLE,Rp 139.000
99,LIP COAT - PERSIMMON PIE,Rp 139.000
100,FACE POWDER - MEDIUM BEIGE,Rp 151.050
101,LIP COAT - PUMPKIN SORBET,Rp 139.000
102,BROW DEFINER - DARK BROWN,Rp 122.550
103,LIP COAT - PEPPERMINT PINK,Rp 139.000
104,LIP COAT - BLOODY MARY,Rp 139.000
105,LIP COAT - PEACH SODA,Rp 139.000
106,LIP COAT - GINGER BREAD,Rp 139.000
107,MATTE LINER - PITCH BLACK,Rp 122.550
108,EYESHADOW PEN - CRÉME GOLD,Rp 118.150
109,EYESHADOW PEN - HARVEST GOLD,Rp 118.150
110,FACE POWDER - BEIGE,Rp 159.000
111,LIP COAT - CANDY APPLE,Rp 139.000
